PF10417	PF10417.11
PF12574	PF12574.10
PF09847	PF09847.11
PF00244	PF00244.22
PF16998	PF16998.7
PF00389	PF00389.32
PF02826	PF02826.21
PF00198	PF00198.25
PF16078	PF16078.7
PF04029	PF04029.16
PF04463	PF04463.14
PF16620	PF16620.7
PF05635	PF05635.13
PF08521	PF08521.12
PF08793	PF08793.12
PF20150	PF20150.1
PF11591	PF11591.10
PF01257	PF01257.21
PF08975	PF08975.12
PF03390	PF03390.17
PF03171	PF03171.22
PF13532	PF13532.8
PF13640	PF13640.8
PF13661	PF13661.8
PF13759	PF13759.8
PF10014	PF10014.11
PF13239	PF13239.8
PF13563	PF13563.8
PF03475	PF03475.16
PF06983	PF06983.15
PF06052	PF06052.14
PF12578	PF12578.10
PF17644	PF17644.3
PF11330	PF11330.10
PF00803	PF00803.20
PF01073	PF01073.21
PF06725	PF06725.13
PF02829	PF02829.16
PF10605	PF10605.11
PF00725	PF00725.24
PF02737	PF02737.20
PF18321	PF18321.3
PF16121	PF16121.7
PF16122	PF16122.7
PF04419	PF04419.16
PF17947	PF17947.3
PF03061	PF03061.24
PF13279	PF13279.8
PF13622	PF13622.8
PF12729	PF12729.9
PF04476	PF04476.15
PF18671	PF18671.3
PF17837	PF17837.3
PF05902	PF05902.15
PF01812	PF01812.22
PF06189	PF06189.14
PF09038	PF09038.12
PF03491	PF03491.15
PF07694	PF07694.14
PF01367	PF01367.22
PF02739	PF02739.18
PF05761	PF05761.16
PF02872	PF02872.20
PF02096	PF02096.22
PF01591	PF01591.20
PF00393	PF00393.21
PF02294	PF02294.20
PF07698	PF07698.13
PF07696	PF07696.13
PF07695	PF07695.13
PF07697	PF07697.13
PF00001	PF00001.23
PF00002	PF00002.26
PF00003	PF00003.24
PF13853	PF13853.8
PF02949	PF02949.22
PF08395	PF08395.14
PF02117	PF02117.18
PF10292	PF10292.11
PF02175	PF02175.18
PF10316	PF10316.11
PF10317	PF10317.11
PF10318	PF10318.11
PF10327	PF10327.11
PF10319	PF10319.11
PF10320	PF10320.11
PF10321	PF10321.11
PF10322	PF10322.11
PF10323	PF10323.11
PF10324	PF10324.11
PF10328	PF10328.11
PF10325	PF10325.11
PF10326	PF10326.11
PF14402	PF14402.8
PF17028	PF17028.7
PF07388	PF07388.13
PF07966	PF07966.14
PF08792	PF08792.12
PF00207	PF00207.24
PF07703	PF07703.16
PF07677	PF07677.16
PF03443	PF03443.16
PF00004	PF00004.31
PF09820	PF09820.11
PF12846	PF12846.9
PF13086	PF13086.8
PF13087	PF13087.8
PF13166	PF13166.8
PF13173	PF13173.8
PF13175	PF13175.8
PF13191	PF13191.8
PF13207	PF13207.8
PF13238	PF13238.8
PF13245	PF13245.8
PF07724	PF07724.16
PF13304	PF13304.8
PF13401	PF13401.8
PF13476	PF13476.8
PF13479	PF13479.8
PF13481	PF13481.8
PF13500	PF13500.8
PF13514	PF13514.8
PF13521	PF13521.8
PF13555	PF13555.8
PF07726	PF07726.13
PF13604	PF13604.8
PF13614	PF13614.8
PF13654	PF13654.8
PF13671	PF13671.8
PF13872	PF13872.8
PF14516	PF14516.8
PF07728	PF07728.16
PF12774	PF12774.9
PF12775	PF12775.9
PF12780	PF12780.9
PF12781	PF12781.9
PF14363	PF14363.8
PF16193	PF16193.7
PF09821	PF09821.11
PF17857	PF17857.3
PF17872	PF17872.3
PF18198	PF18198.3
PF17863	PF17863.3
PF17862	PF17862.3
PF17864	PF17864.3
PF17865	PF17865.3
PF17866	PF17866.3
PF17867	PF17867.3
PF17868	PF17868.3
PF17871	PF17871.3
PF08298	PF08298.13
PF18280	PF18280.3
PF04611	PF04611.14
PF03306	PF03306.15
PF05282	PF05282.13
PF08142	PF08142.14
PF03417	PF03417.18
PF07247	PF07247.14
PF13339	PF13339.8
PF00696	PF00696.30
PF00324	PF00324.23
PF13520	PF13520.8
PF13906	PF13906.8
PF08403	PF08403.12
PF06684	PF06684.13
